"s1","s2","t","MBT.norm","speed.norm","profil.norm","steel.norm","invRad.norm"
1,1,1.09041095890411,0.159410636578333,0.263157894736842,0.655172413793103,0.75,0
2,3,1.2958904109589,0.159445073524197,0.263157894736842,0.655172413793103,0.75,0.189
2,3,1.2958904109589,0.159445073524197,0.263157894736842,0.655172413793103,0.75,0.189
2,5,1.93972602739726,0.159391893957944,0.315789473684211,0.482758620689655,0,0.154285714285714
4,4,0.26027397260274,0.159391893957944,0.236842105263158,0.655172413793103,0.75,0
3,3,0.865753424657534,0.159291381333421,0.473684210526316,0.655172413793103,0.75,0.103846153846154
1,3,1.23013698630137,0.159291381333421,0.210526315789474,0.655172413793103,0.75,0
1,3,1.22191780821918,0.159291381333421,0.473684210526316,0.655172413793103,0.75,0
3,3,1.22191780821918,0.159291381333421,0.473684210526316,0.655172413793103,0.75,0
1,4,1.23013698630137,0.159291381333421,0.473684210526316,0.655172413793103,0.75,0
2,4,2.99452054794521,0.159291381333421,0.421052631578947,0.655172413793103,0.75,0
2,2,3.98082191780822,0.159291381333421,0.421052631578947,0.655172413793103,0.75,0
3,5,0.221917808219178,0.15597920276125,0.210526315789474,0.655172413793103,0.75,0.821739130434783
3,4,3.8027397260274,0.15597920276125,0.157894736842105,0.655172413793103,0.3,0
2,3,2.86301369863014,0.15597920276125,0.157894736842105,0.655172413793103,0.3,0
1,1,1.87945205479452,0.15597920276125,0.157894736842105,0.655172413793103,0.3,0
3,4,0.673972602739726,0.15597920276125,0.157894736842105,0.655172413793103,0.3,0
3,4,1.0027397260274,0.1546697133935,0.210526315789474,0.655172413793103,0.75,0
2,2,0.819178082191781,0.1546697133935,0.157894736842105,0.655172413793103,0.75,0.429545454545455
4,5,0.180821917808219,0.0289454189210193,0.526315789473684,0.862068965517241,0.3,0.994736842105263
2,2,0.947945205479452,0.228595866685127,0.526315789473684,1,0.3,0.1575
2,3,1.25479452054795,0.228595866685127,0.526315789473684,0.862068965517241,0.75,0.1575
3,3,1.03561643835616,0.0134242311896074,0.368421052631579,0.482758620689655,0,0.771428571428572
1,1,0.863013698630137,0.0166554440749271,0.157894736842105,0.482758620689655,0,0.0756
1,1,2.68767123287671,0.0166554440749271,0.157894736842105,0.482758620689655,0,0.640677966101695
2,2,1.96164383561644,0.0166554440749271,0.263157894736842,0.482758620689655,0,0.651724137931035
4,4,0.249315068493151,0.0166554440749271,0.289473684210526,0.482758620689655,0,0.567567567567568
2,3,0.115068493150685,0.0166554440749271,0.421052631578947,0.482758620689655,0,0
4,4,0.167123287671233,0.0166554440749271,0.421052631578947,0.482758620689655,0.3,0.63
2,2,1.95068493150685,0.0166554440749271,0.342105263157895,0.482758620689655,0,0.168
1,3,3.60821917808219,0.0166554440749271,0.210526315789474,0.482758620689655,0,0.0378
3,3,1.2,0.0345838047376099,0.447368421052632,0.482758620689655,0,0.0497368421052632
3,3,1.03835616438356,0.0345838047376099,0.368421052631579,0.482758620689655,0.3,0
2,2,2.59178082191781,0.157357356492696,0.421052631578947,0.655172413793103,0.3,0
1,4,0.920547945205479,0.157357356492696,0.421052631578947,0.655172413793103,0.3,0
1,3,0.917808219178082,0.0169177799296532,0.315789473684211,0.482758620689655,0,0.0484615384615385
1,3,0.917808219178082,0.0169177799296532,0.368421052631579,0.482758620689655,0,0
3,3,1.03561643835616,0.0169177799296532,0.368421052631579,0.482758620689655,0,0
3,3,1.03561643835616,0.0134242311896074,0.368421052631579,0.482758620689655,0,0.771428571428572
1,1,0.863013698630137,0.0166554440749271,0.157894736842105,0.482758620689655,0,0.651724137931035
2,2,0.945205479452055,0.0166554440749271,0.289473684210526,0.482758620689655,0,0.54
4,4,0.249315068493151,0.0166554440749271,0.289473684210526,0.482758620689655,0,0.567567567567568
1,2,2.95068493150685,0.0166554440749271,0.315789473684211,0.482758620689655,0,0.325862068965517
2,4,0.654794520547945,0.0166554440749271,0.315789473684211,0.482758620689655,0,0.325862068965517
2,2,1.95068493150685,0.0166554440749271,0.342105263157895,0.482758620689655,0,0.168
4,4,0.0931506849315069,0.157357356492696,0.368421052631579,0.482758620689655,0.3,0
1,1,0.942465753424658,0.157357356492696,0.368421052631579,0.482758620689655,0.3,0.02625
1,1,0.56986301369863,0.157357356492696,0.368421052631579,0.482758620689655,0.3,0.02625
1,1,1.17534246575342,0.157357356492696,0.368421052631579,0.482758620689655,0.3,0.02625
1,3,1.95616438356164,0.157357356492696,0.368421052631579,0.482758620689655,0.3,0.02625
3,3,2.22465753424658,0.157357356492696,0.315789473684211,0.655172413793103,0.75,0
4,4,0.249315068493151,0.157357356492696,0.315789473684211,0.655172413793103,0.75,0.242307692307692
3,3,1.03561643835616,0.148944231505386,0.421052631578947,0.655172413793103,0.3,0
3,3,0.572602739726027,0.0345838047376099,0.447368421052632,0.482758620689655,0,0.0497368421052632
2,2,0.698630136986301,0.0345838047376099,0.447368421052632,0.482758620689655,0.3,0.63
2,2,1.91506849315068,0.0143993814083642,0.0526315789473684,0.482758620689655,0.3,0.667844522968198
4,4,0.101369863013699,0.0143993814083642,0.210526315789474,0.482758620689655,0.3,0.640677966101695
2,2,1.86027397260274,0.0143993814083642,0.210526315789474,0.482758620689655,0.3,0.663157894736842
1,1,0.726027397260274,0.0143993814083642,0.210526315789474,0.482758620689655,0.3,0
1,3,0.726027397260274,0.0143993814083642,0.210526315789474,0.482758620689655,0.3,0.921951219512195
