"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"free_upper_tri_TRUE_rps",1.08616748200876,0.958059293297764,1.05163241182591,1.14344372735658,1.03162676870693,1.01805874389221,1.02937828081024,1.09302844352514,0.990128499737093,0.961535635028436
"free_upper_tri_TRUE_brier",1.06670758706331,0.957415626932763,1.03906175553227,1.12841751234561,2.69005179509339,3.12058788966777,2.4403810075343,1.08642694071156,0.988200970930473,0.96190886208952
"free_upper_tri_TRUE_all",1.0621083220204,0.957687652892363,1.03347224519292,1.1248052568097,1.01332235146355,1.01431774878019,1.02790636187895,1.07463289066793,0.983584520248943,0.963302232983466
"uniform",1.28888179223988,1.28758185195915,1.31036187810306,1.2942695999895,1.29096130618443,1.30899329833006,1.31615798930387,1.30806234470378,1.3186033980854,1.30214501115348
"persistence",Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
"empirical_dist",1.38078175282848,1.35885369736713,1.41414703081459,1.42952595122305,1.39755496661622,1.39637601441271,1.36655615768067,1.40763712271107,1.33203666619691,1.33612904760404
"empirical_dist_corr",1.12994097032483,1.12302999886755,1.17909497329467,1.16333311991062,1.14908007630223,1.16451457702911,1.16047512051459,1.16949421458873,1.12635226343704,1.11123653691252
"olr",1.20743862854653,1.14571577634894,1.24059277112222,1.26517591864531,1.18563166556799,1.21202630767826,1.17172029478825,1.19899943726858,1.15043117793691,1.14090285757514
"olr_cov",1.19282735364462,1.1281590056782,1.23035004353856,1.25933289378701,1.16978948152506,1.19597952901416,1.15871167720642,1.20160179086481,1.14893825801376,1.13590815563677
"obs",0,0,0,0,0,0,0,0,0,0
